,관광지,날짜,버즈량,위치
2036,관덕정,2021-07-31,9,제주시
2037,관덕정,2021-08-01,6,제주시
2038,관덕정,2021-08-02,9,제주시
2039,관덕정,2021-08-03,5,제주시
2040,관덕정,2021-08-04,6,제주시
2041,관덕정,2021-08-05,8,제주시
2042,관덕정,2021-08-06,10,제주시
2043,관덕정,2021-08-07,10,제주시
2044,관덕정,2021-08-08,7,제주시
2045,관덕정,2021-08-09,7,제주시
2046,관덕정,2021-08-10,7,제주시
2047,관덕정,2021-08-11,7,제주시
2048,관덕정,2021-08-12,9,제주시
2049,관덕정,2021-08-13,10,제주시
2050,관덕정,2021-08-14,8,제주시
